,Aminity,longitude,latitude
0,cinemas,72.86045395,19.08826326
1,restaurant,72.857568,19.09086538
2,fountain,72.96019844,19.1905281
3,shelter,72.93424434,19.18717415
4,optician,72.9109176,19.11811186
5,electronics,72.90989702,19.11739335
6,community_centre,72.84329203,19.07217922
7,fuel,72.84329203,19.07217922
8,vending_machine,72.8247184,19.123670800000003
9,bank,72.86192413,19.08563816
10,atm,72.85214919,19.10254834
11,Theatre,72.83664875,19.1482406
12,hospital,72.88222415,19.08086724
13,school,72.86107909,19.10423014
14,fast_food,72.88265679999999,19.12225534
15,studio,72.84404545,19.0478824
16,college,72.83359486,19.06069253
17,ice_cream,72.91893047,19.13051238
18,cafe,72.84550548,19.08444731
19,pharmacy,72.86126506,19.09131627
20,jeweller,72.88731032,19.09737162
21,clothes,72.91133590000001,19.119172600000002
22,beauty_saloon,72.91139659999999,19.1192049
23,driving_school,72.96401290000001,19.2231242
24,dental_clinic,72.83030053,19.14001072
25,taxi,72.90775019,19.12195743
26,gym,72.98821035,19.17989515
27,bar,72.8292788,19.02770205
28,pub,72.82848012,19.0911612
29,restroom,72.8266381,18.96267613
30,night_club,72.84369135,19.02748605
31,car_rental,72.8720824,19.0230604
32,internet_cafe,72.9062777,19.068945499999998
