,longitude,latitude,Amenity
0,72.86045395294117,19.088263258823527,Cinema
1,72.92645019166667,19.222029191666664,Cinema
2,73.2806569,18.764920999999998,Cinema
3,73.09851570000001,19.06334115,Cinema
4,72.82750963076923,18.96099720769231,Cinema
5,72.92753267142857,19.21621713076923,Restaurant
6,72.83153562076923,18.93728190769231,Restaurant
7,73.4199341875,18.759000825,Restaurant
8,73.06700583953489,19.04567936976744,Restaurant
9,73.28240762222222,19.23752503888889,Restaurant
10,72.85756800307692,19.09086538230769,Restaurant
11,72.96019844,19.190528099999998,Fountain
12,72.83407745,18.943981400000002,Fountain
13,73.2297623,19.1668516,Fountain
14,73.01621209999999,19.0059537,Fountain
15,72.8368968,19.22536385,Fountain
16,72.90046540000002,19.0527518,Fountain
17,72.93424433636363,19.187174154545456,Shelter
18,73.43006390000001,18.7567009,Shelter
19,73.4067979,18.7484608,Community Centre
20,73.00106751666667,19.183592266666665,Community Centre
21,72.84329203333334,19.072179216666665,Community Centre
22,72.84780772857142,19.22913497142857,Community Centre
23,72.82735713333334,18.928475266666666,Community Centre
24,72.84780772857142,19.22913497142857,Fuel
25,73.4067979,18.7484608,Fuel
26,72.82735713333334,18.928475266666666,Fuel
27,73.00106751666667,19.183592266666665,Fuel
28,72.84329203333334,19.072179216666665,Fuel
29,72.8247184,19.1236708,Vending Machine
30,72.8798189,19.031797,Vending Machine
31,73.05238578730159,19.024144658730158,bank
32,72.83106295593221,18.934655661016947,bank
33,72.86192413333333,19.085638156363636,bank
34,73.30864395555555,18.753312555555556,bank
35,73.31795995,19.197604208333335,bank
36,72.90980006494846,19.20583608556701,bank
37,72.85193767361112,19.101411556944445,Atm
38,72.97617601481481,19.222714437037038,Atm
39,73.17897403157895,19.055685,Atm
40,72.83385129523809,18.937234509523808,Atm
41,72.84627226666667,19.2512787125,Atm
42,72.91047222499999,19.099957925,Theatre
43,72.81648443333333,18.9411991,Theatre
44,73.127545,19.2416211,Theatre
45,73.01131273333334,19.06743386666667,Theatre
46,72.83608012222223,19.112579544444444,Theatre
47,72.96101870000001,19.206461750000003,Theatre
48,72.85337474615385,19.26635783076923,Hospital
49,72.8822241509091,19.080867243636362,Hospital
50,72.96281093421052,19.19606044736842,Hospital
51,73.11542637,18.96696927,Hospital
52,73.17465574444445,19.198865488888888,Hospital
53,72.82341483,18.96319759,Hospital
54,72.87197465,18.640462399999997,Hospital
55,73.36341675,18.817438,School
56,72.95275105625,19.178834803125,School
57,72.82299014666667,18.955936546666667,School
58,72.86477196393443,19.074586832786885,School
59,72.84912252727273,19.230147142424244,School
60,73.09570422,19.00501584,School
61,73.11285215714285,19.19866462857143,School
62,73.09789165714285,19.018692235714287,Fast Food
63,72.8786590795082,19.117572563934427,Fast Food
64,72.830804248,18.984376148,Fast Food
65,72.9736549897436,19.215788397435897,Fast Food
66,73.3389862125,18.77809405,Fast Food
67,72.9081436,19.0463561,studio
68,72.84404545000001,19.0478824,studio
69,72.82582524285714,18.94609947142857,College
70,72.84323997999999,19.20266728,College
71,72.89799003333334,19.0489781,College
72,72.83359486250001,19.060692525,College
73,73.19926770000001,18.9744654,College
74,72.89543296000001,19.13298878,College
75,72.96969770000001,19.263168,College
76,72.81934530000001,18.949953,ice_cream
77,72.91893046666667,19.130512375000002,ice_cream
78,72.8095132,19.4418276,ice_cream
79,72.843645975,19.05670495,ice_cream
80,72.91734126956521,19.16593495,Cafe
81,73.07501293636363,19.02186960909091,Cafe
82,73.3109021,18.830517083333334,Cafe
83,72.83121389375,18.93597280625,Cafe
84,73.3573252,19.302430166666667,Cafe
85,72.84550547941177,19.084447310784313,Cafe
86,72.9124686235294,19.228848705882353,Pharmacy
87,72.86126505849056,19.09131626981132,Pharmacy
88,72.82576546666667,18.944944200000002,Pharmacy
89,73.18441805,19.161746275,Pharmacy
90,73.3901255,18.7548253,Pharmacy
91,72.88731032183908,19.09737162183908,Jeweller
92,72.90989702499999,19.11739335,Electronics
93,72.91133590000001,19.119172600000002,Clothes
94,72.91139659999999,19.1192049,Beaury Saloon
95,72.96401290000001,19.2231242,Driving School
96,72.91235895,19.120106325000002,Dental Clinic
97,72.83030053333333,19.140010716666666,Dental Clinic
98,72.84066630000001,19.05585955,Dental Clinic
99,73.02541947272728,19.021411445454547,Taxi
100,72.91952195555555,19.128858377777778,Taxi
101,73.1850802,19.18006846666667,Taxi
102,72.83777828333334,19.048769083333333,Taxi
103,72.8556237,19.318115249999998,Taxi
104,73.2855792,19.0028896,Taxi
105,72.83647414999999,19.067438600000003,Gym
106,72.98821035,19.17989515,Gym
107,72.8168694,19.4064188,Bar
108,72.8364700125,19.0848347875,Bar
109,72.82352123571428,18.966833357142857,Bar
110,72.9236669,19.13891421111111,Bar
111,72.92631814,19.06991832,Bar
112,73.109229,19.0231247,Bar
113,72.837626325,19.200731925,Bar
114,72.82848012222223,19.0911612,Pub
115,72.82499713333334,18.9614833,Pub
116,72.90980040000001,19.1159269,Pub
117,72.8266381,18.962676125,Rest-Room
118,72.84369135,19.02748605,Night Club
119,72.8720824,19.0230604,Car Rental
120,72.9062777,19.068945499999998,Internet Cafe
